alarm clock,Wecker
desk,Schreibtisch
refrigerator,Kühlschrank
armchair,Sessel
door,Tür
roof,Dach
doorbell,Türklingel
room,Platz
balcony,Balkon
rug,Teppich
basement,Keller
fence,fechten
sheet,Blatt
basket,Korb
fireplace,Kamin
shelf,Regal
bathroom,Badezimmer
floor,Fußboden
shower,überhäufen
bathtub,Badewanne
floor / storey,Etage/Stockwerk
sink,sinken
bed,Bett
furniture,Möbel
sofa,Couch
bedroom,Schlafzimmer
garden,Garten
stairs,Treppe
blanket,Decke
ground floor,Erdgeschoss
stove,Herd
blinds,Jalousien
house,Haus
table,Tabelle
bookcase,Bücherregal
iron (flat),Eisen (flach)
tap (faucet),tippen Sie auf (Wasserhahn)
box,Kiste
key,Schlüssel
telephon,telefonieren
kitchen,Küche
television,Fernsehgerät
carpet,teppich
lamp,Lampe
toaster,Toaster
ceiling,Decke
toilet (WC),Toilette (WC)
chair,Stuhl
light bulb,glühbirne
towel,Handtuch
chimney,Schornstein
lock,Verriegelung
vacuum cleaner,staubsauger
clock,Uhr
mattress,Matratze
vase,Vase
closet,Kleiderschrank
mirror,Spiegel
wall,Wand
computer,Computer
oven,Ofen
wall (room),wall (Zimmer)
corner,Ecke
window,Fenster
cupboard,Schrank
picture,Bild
yard,Hof
curtain,Vorhang
pillow,Kissen
pipe (water),Rohr (Wasser)
home,Zuhause
flat,Wohnung
greenhouse,Gewächshaus
living room,wohnzimmer
cloak room,Garderobe
sauna,Sauna
washing machine,Waschmaschine
dishwasher,Geschirrspülmaschine
microwave oven,Mikrowelle
fork,Gabel
wardrobe,Kleiderschrank
neighbour,Nachbar