foreigner , der Ausländer
sound , Klang
connection , der Verbindung
surface , der Fläche
ore , Erz
part , Teil
1 / 4 , Ein Viertel
state border , staatliche Grenze
government , die Regierung
newspaper , die Zeitung
party , Partei
life , Leben
death , Tod
guest , Gast
goods , Waren
note (sticker) / note (заметка) , Zettel / Notizen
cross , Uberqueren
place , Ort
birthday , Geburtstag
moment , Moment
message , Nachricht
continuation , Fortführung
department , Abteilung
equipment , Ausrüstung
speech , Rede
button , Knopf
population , Bevölkerung
queen , Königin
citizenship , Staatsangehörigkeit
language , Sprache
friend , freund
demand, Verlangen
desire , Wunsch
page , Seite
homework , Hausaufgabe
thing , Sache
place / sight , Ort / Sehenswürdigkeit
future , Zukunft
tip , Tipp
rent , Miete
topic , Thema
fun (noun),Spaß (Substantiv)
example , Beispiel