I have been doing it since last christmas,Ich mache es seit letztem Weihnachten
I have been doing it for 3 weeks,Ich mache es seit 3 Wochen
I did it 2 days ago,Ich hab's vor 2 Tagen gemacht
I will do it in 2 months = I will do it 2 months later,Ich mache es in 2 Monaten = ich mache es 2 Monate später
I did it during traffic jam,Ich habe es während des Staus gemacht
I did it in 1989,Ich habe es 1989 geschafft
I did it while she was at home,Ich habe es gemacht, als sie zu Hause war
I did it after she came,Ich habe es getan, nachdem sie gekommen ist
I did it before she came,Ich habe es getan bevor sie kam
I will be doing it as long as she is at home,Ich werde es tun, solange sie zu Hause ist
I have been living there from 1975 till 1981,Ich lebe dort von 1975 bis 1981